only	కేవలం సార్లు మాత్రమే
but she isnt	కానీ ఆమె పని లేదు
how it exactly works	ఇది ఎలా సరిగ్గా పనిచేస్తుంది
he is doing nothing	ఏ ఉంటాడు
the house burns down	ఇల్లు
are values being	విలువలు
where are the kids	ఎక్కడి చిన్నారులు
the pension of rs	పింఛను మొత్తాన్ని రూ
cant you see anything	ఏదీ
soon another crisis	తాజాగా మరో భయంకరమైన సంక్షోభం కూడా ముందుకు వచ్చింది
recently updated complete	ఇటీవల పూర్తి
nobody is our enemy	మాకు లేని ప్రతి ఒక్కరూ
you can go later	తర్వాత
the working of the	పని
such is our life	మన రోజులు
congress supports bharat bandh	భారత్ కాంగ్రెస్ మద్దతు
it is exalted indeed	ఇది నిజమైన ఉన్నత ఉంది
who owns the car	కారులో ఉన్న వ్యక్తి ఎవరు
another player gets injured	మరో క్రికెటర్
cant i be okay	నేను బాగా
great man he is	గొప్ప మనిషి ఆయన
i want a job	నాకు జాబ్ వుంది
his fit is great	ఆమె
he works very hard	తను బాగా
just for the name	కేవలం పేరు
the movie cost rs	ఆ సినిమాకు రూ
but doesnt agree	కాని
but its so wrong	అయితే ఆలా చేయటం చాలా తప్పు
violence never long	ఎక్కువ కాలం
not in my mind	మనసులో అనుకోలేదు
click for more details	పూర్తి కోసం క్లిక్ చేయండి
how the case started	కథ ఎలా
it violates the law	అది చట్టాన్ని అవుతుంది
she is a heroine	అంటోంది ఈ హీరోయిన్
she did not agree	ఆమె ఒప్పుకోలేదు
drug abuse in bollywood	బాలీవుడ్లో డ్రగ్స్
pick the right one	సరిగ్గా ఎంచుకోండి
bjps in karnataka	కర్నాటకలో బీజేపీకి
here it is happening	ఇదిగో ఇలా
symptoms of the virus	వైరస్ లక్షణాలు ఇవే
he was very simple	అతను చాలా ఉన్నాడు
are you a child	కొడుకు కదా
dollar notes file photo	ఫైల్ ఫొటో
doesnt seem like it	ది నచ్చడం ఉంది
girl student commits suicide	విద్యార్థిని ఆత్మహత్య
the many viruses	ఎన్నో
when was it registered	రిజిస్టర్ అయ్యారు
the distance is km	కిలో మీటర్ల దూరంలో
another amount of rs	ఇతర రూపంలో మరో రూ
we welcome the decision	ఈ నిర్ణయాన్ని
based on real events	వాస్తవ ఆధారంగా
the company has recently	తాజాగా ఈ సంస్థ
did he feel	అతను
types of heart disease	వాపు రకాలు
he screamed for help	దీంతో సహాయం కోసం గట్టిగా
the design is fantastic	దీని ఒక అద్భుతం
dark on skin	మచ్చలు
he didnt mind though	అయినా అతడు పెద్దగా పట్టించుకోలేదు
how do fly	ఎలా
manu bhaker wins gold	పథకం మను భాకర్
if not act fast	చేయకపోతే
lakh delhi	లక్షలు ఎక్స్ షోరూమ్ ఉన్నాయి
always follow manufacturers instructions	మీరు ఎల్లప్పుడూ ఉపయోగం కోసం సిఫార్సు సూచనలను
unveils radio	రెండు విడుదల చేసిన
however no one	అయినా ఎవరూ
thats one lucky baby	ఇది కేవలం మంచి సంతానం
was the data	మీరు ఇచ్చిన సమాచారం
it should be encouraged	దీనిని
issue of workers	వలస కూలీల ఆందోళన
benefits of fasting	దీక్ష వలన కలిగే ప్రయోజనాలు
it comprises three members	ఇది మూడు కూడి ఉండాలి
certainly anything is possible	వాస్తవానికి ఏదైనా సాధ్యమే
not just weight loss	కేవలం బరువు కాదు
crore to sell it	లక్షలకు విక్రయిస్తోంది
dr arjun sharma son	డాక్టర్ అర్జున్ శర్మ కుమారుడు
the results are good	అనుకూలమైన
violence isnt the solution	హింస పరిష్కారం
gold and silver prices	స్థిరంగా బంగారు వెండి ధరలు
one can doubt it	అన్న సందేహం
how to	ఏం పుట్టగొడుగులను ఉడికించాలి ఎలా
she had four children	ఆమె నాలుగు పిల్లలు జాగ్రత్త తీసుకున్నారు
all are playing well	అందరూ బాగా నటిస్తారు
doctors are not gods	డాక్టర్లు జంతువులు కాదు
security deposit of rs	సెక్యూరిటీ డిపాజిట్ ఉంటుంది
